image name,true label id,true label description,target label id,target label description
ILSVRC2012_val_00009916.JPEG,957,pomegranate,162,beagle
ILSVRC2012_val_00012589.JPEG,505,coffeepot,230,"Shetland sheepdog, Shetland sheep dog, Shetland"
ILSVRC2012_val_00009302.JPEG,595,"harvester, reaper",83,"prairie chicken, prairie grouse, prairie fowl"
ILSVRC2012_val_00037884.JPEG,876,"tub, vat",482,cassette player
ILSVRC2012_val_00032256.JPEG,915,yurt,917,comic book
ILSVRC2012_val_00030794.JPEG,989,"hip, rose hip, rosehip",832,"stupa, tope"
ILSVRC2012_val_00005030.JPEG,146,"albatross, mollymawk",707,"pay-phone, pay-station"
ILSVRC2012_val_00033018.JPEG,346,"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis",506,"coil, spiral, volute, whorl, helix"
ILSVRC2012_val_00049345.JPEG,294,"brown bear, bruin, Ursus arctos",323,"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus"
ILSVRC2012_val_00028723.JPEG,566,"French horn, horn",551,face powder
ILSVRC2012_val_00011787.JPEG,81,ptarmigan,800,"slot, one-armed bandit"
ILSVRC2012_val_00043640.JPEG,537,"dogsled, dog sled, dog sleigh",989,"hip, rose hip, rosehip"
ILSVRC2012_val_00045502.JPEG,5,"electric ray, crampfish, numbfish, torpedo",825,stone wall
ILSVRC2012_val_00003028.JPEG,454,"bookshop, bookstore, bookstall",434,bath towel
ILSVRC2012_val_00023085.JPEG,52,"thunder snake, worm snake, Carphophis amoenus",667,mortarboard
ILSVRC2012_val_00027487.JPEG,498,"cinema, movie theater, movie theatre, movie house, picture palace",745,projector
ILSVRC2012_val_00030285.JPEG,178,Weimaraner,478,carton
ILSVRC2012_val_00005975.JPEG,104,"wallaby, brush kangaroo",845,syringe
ILSVRC2012_val_00021619.JPEG,448,birdhouse,726,"plane, carpenter's plane, woodworking plane"
ILSVRC2012_val_00010669.JPEG,34,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",865,toyshop
ILSVRC2012_val_00049443.JPEG,393,anemone fish,553,"file, file cabinet, filing cabinet"
ILSVRC2012_val_00011237.JPEG,92,bee eater,267,standard poodle
ILSVRC2012_val_00038169.JPEG,87,"African grey, African gray, Psittacus erithacus",546,electric guitar
ILSVRC2012_val_00003421.JPEG,69,trilobite,988,acorn
ILSVRC2012_val_00001586.JPEG,138,bustard,526,desk
ILSVRC2012_val_00008417.JPEG,298,mongoose,638,maillot
ILSVRC2012_val_00019946.JPEG,326,"lycaenid, lycaenid butterfly",715,pickelhaube
ILSVRC2012_val_00030554.JPEG,588,hamper,321,admiral
ILSVRC2012_val_00046019.JPEG,495,"china cabinet, china closet",574,golf ball
ILSVRC2012_val_00033683.JPEG,179,"Staffordshire bullterrier, Staffordshire bull terrier",968,cup
ILSVRC2012_val_00007598.JPEG,533,"dishrag, dishcloth",483,castle
ILSVRC2012_val_00003511.JPEG,370,"guenon, guenon monkey",107,jellyfish
ILSVRC2012_val_00005177.JPEG,954,banana,239,Bernese mountain dog
ILSVRC2012_val_00024642.JPEG,254,"pug, pug-dog",150,sea lion
ILSVRC2012_val_00025417.JPEG,645,maypole,374,langur
ILSVRC2012_val_00041384.JPEG,229,"Old English sheepdog, bobtail",399,abaya
ILSVRC2012_val_00010563.JPEG,197,giant schnauzer,397,"puffer, pufferfish, blowfish, globefish"
ILSVRC2012_val_00002692.JPEG,346,"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis",768,rugby ball
ILSVRC2012_val_00019675.JPEG,730,"plow, plough",456,bow
ILSVRC2012_val_00047474.JPEG,16,bulbul,265,toy poodle
ILSVRC2012_val_00046903.JPEG,97,drake,624,library
ILSVRC2012_val_00029004.JPEG,410,"apiary, bee house",441,beer glass
ILSVRC2012_val_00028137.JPEG,458,"brass, memorial tablet, plaque",338,"guinea pig, Cavia cobaya"
ILSVRC2012_val_00023093.JPEG,789,shoji,537,"dogsled, dog sled, dog sleigh"
ILSVRC2012_val_00042774.JPEG,126,isopod,704,parking meter
ILSVRC2012_val_00036830.JPEG,496,Christmas stocking,616,knot
ILSVRC2012_val_00027706.JPEG,908,wing,861,toilet seat
ILSVRC2012_val_00047125.JPEG,162,beagle,597,holster
ILSVRC2012_val_00031830.JPEG,990,"buckeye, horse chestnut, conker",515,"cowboy hat, ten-gallon hat"
ILSVRC2012_val_00025441.JPEG,34,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",407,ambulance
ILSVRC2012_val_00046027.JPEG,692,packet,651,"microwave, microwave oven"
ILSVRC2012_val_00021206.JPEG,184,Irish terrier,862,torch
ILSVRC2012_val_00026491.JPEG,532,"dining table, board",599,honeycomb
ILSVRC2012_val_00000475.JPEG,888,viaduct,904,window screen
ILSVRC2012_val_00005445.JPEG,540,"drilling platform, offshore rig",965,burrito
ILSVRC2012_val_00033046.JPEG,679,necklace,971,bubble
ILSVRC2012_val_00004696.JPEG,858,tile roof,653,milk can
ILSVRC2012_val_00003062.JPEG,492,chest,794,shower curtain
ILSVRC2012_val_00017691.JPEG,886,vending machine,554,fireboat
ILSVRC2012_val_00044717.JPEG,179,"Staffordshire bullterrier, Staffordshire bull terrier",827,stove
ILSVRC2012_val_00012741.JPEG,141,"redshank, Tringa totanus",883,vase
ILSVRC2012_val_00032408.JPEG,472,canoe,691,oxygen mask
ILSVRC2012_val_00027836.JPEG,340,zebra,410,"apiary, bee house"
ILSVRC2012_val_00031789.JPEG,665,moped,813,spatula
ILSVRC2012_val_00035058.JPEG,815,"spider web, spider's web",657,missile
ILSVRC2012_val_00039187.JPEG,616,knot,591,"handkerchief, hankie, hanky, hankey"
ILSVRC2012_val_00039804.JPEG,326,"lycaenid, lycaenid butterfly",307,weevil
ILSVRC2012_val_00043991.JPEG,945,bell pepper,606,"iron, smoothing iron"
ILSVRC2012_val_00048963.JPEG,189,Lakeland terrier,404,airliner
ILSVRC2012_val_00024883.JPEG,994,"stinkhorn, carrion fungus",357,mink
ILSVRC2012_val_00005547.JPEG,972,"cliff, drop, drop-off",613,joystick
ILSVRC2012_val_00012207.JPEG,639,"maillot, tank suit",408,"amphibian, amphibious vehicle"
ILSVRC2012_val_00015482.JPEG,355,llama,534,"dishwasher, dish washer, dishwashing machine"
ILSVRC2012_val_00033784.JPEG,566,"French horn, horn",317,leafhopper
ILSVRC2012_val_00029831.JPEG,235,"German shepherd, German shepherd dog, German police dog, alsatian",604,hourglass
ILSVRC2012_val_00045445.JPEG,346,"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis",770,running shoe
ILSVRC2012_val_00017169.JPEG,321,admiral,529,"diaper, nappy, napkin"
ILSVRC2012_val_00016200.JPEG,107,jellyfish,709,"pencil box, pencil case"
ILSVRC2012_val_00028785.JPEG,900,water tower,999,"toilet tissue, toilet paper, bathroom tissue"
ILSVRC2012_val_00044991.JPEG,115,"sea slug, nudibranch",779,school bus
ILSVRC2012_val_00042959.JPEG,481,cassette,458,"brass, memorial tablet, plaque"
ILSVRC2012_val_00020946.JPEG,537,"dogsled, dog sled, dog sleigh",88,macaw
ILSVRC2012_val_00036060.JPEG,985,daisy,120,fiddler crab
ILSVRC2012_val_00006732.JPEG,597,holster,302,"ground beetle, carabid beetle"
ILSVRC2012_val_00029364.JPEG,204,"Lhasa, Lhasa apso",427,"barrel, cask"
ILSVRC2012_val_00028925.JPEG,371,"patas, hussar monkey, Erythrocebus patas",92,bee eater
ILSVRC2012_val_00002937.JPEG,462,broom,95,jacamar
ILSVRC2012_val_00010818.JPEG,446,"binder, ring-binder",295,"American black bear, black bear, Ursus americanus, Euarctos americanus"
ILSVRC2012_val_00005327.JPEG,245,French bulldog,21,kite
ILSVRC2012_val_00044985.JPEG,871,trimaran,193,Australian terrier
ILSVRC2012_val_00009259.JPEG,937,broccoli,333,hamster
ILSVRC2012_val_00035451.JPEG,72,"black and gold garden spider, Argiope aurantia",222,kuvasz
ILSVRC2012_val_00024304.JPEG,745,projector,493,"chiffonier, commode"
ILSVRC2012_val_00004963.JPEG,243,bull mastiff,774,sandal
ILSVRC2012_val_00019392.JPEG,637,"mailbox, letter box",579,"grand piano, grand"
ILSVRC2012_val_00044545.JPEG,770,running shoe,617,"lab coat, laboratory coat"
ILSVRC2012_val_00036042.JPEG,13,"junco, snowbird",390,eel
ILSVRC2012_val_00024018.JPEG,662,modem,743,"prison, prison house"
ILSVRC2012_val_00028813.JPEG,63,"Indian cobra, Naja naja",966,red wine
ILSVRC2012_val_00040055.JPEG,206,curly-coated retriever,308,fly